month,rank,citation_count,title,arxiv_id,url,fetched_at,provisional
2025-08,3,87,OpenCUA: Open Foundations for Computer-Use Agents,2508.09123,https://arxiv.org/abs/2508.09123,2026-06-04T06:31:09.192404+00:00,0
2025-08,4,75,MCP-Universe: Benchmarking Large Language Models with Real-World Model Context Protocol Servers,2508.14704,https://arxiv.org/abs/2508.14704,2026-06-04T06:31:11.598390+00:00,0
2025-08,5,73,Reinforcement Learning with Rubric Anchors,2508.12790,https://arxiv.org/abs/2508.12790,2026-06-04T06:31:11.597239+00:00,0
2025-08,6,61,Is Chain-of-Thought Reasoning of LLMs a Mirage? A Data Distribution Lens,2508.01191,https://arxiv.org/abs/2508.01191,2026-06-04T06:31:09.187427+00:00,0
2025-08,7,60,Chain-of-Agents: End-to-End Agent Foundation Models via Multi-Agent Distillation and Agentic RL,2508.13167,https://arxiv.org/abs/2508.13167,2026-06-04T06:31:11.597519+00:00,0
2025-08,8,45,OS Agents: A Survey on MLLM-based Agents for General Computing Devices Use,2508.04482,https://arxiv.org/abs/2508.04482,2026-06-04T06:31:09.189899+00:00,0
2025-08,9,42,SEAgent: Self-Evolving Computer Use Agent with Autonomous Learning from Experience,2508.04700,https://arxiv.org/abs/2508.04700,2026-06-04T06:31:09.189992+00:00,0
2025-08,10,42,Measuring the environmental impact of delivering AI at Google Scale,2508.15734,https://arxiv.org/abs/2508.15734,2026-06-04T06:31:11.599022+00:00,0
2025-09,1,138,The Landscape of Agentic Reinforcement Learning for LLMs: A Survey,2509.02547,https://arxiv.org/abs/2509.02547,2026-06-04T06:31:11.603106+00:00,0
2025-09,2,137,UI-TARS-2 Technical Report: Advancing GUI Agent with Multi-Turn Reinforcement Learning,2509.02544,https://arxiv.org/abs/2509.02544,2026-06-04T06:31:11.603093+00:00,0
2025-09,3,116,ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory,2509.25140,https://arxiv.org/abs/2509.25140,2026-06-04T06:31:17.740615+00:00,0
2025-09,4,87,Training Agents Inside of Scalable World Models,2509.24527,https://arxiv.org/abs/2509.24527,2026-06-04T06:31:17.740175+00:00,0
2025-09,5,63,VerlTool: Towards Holistic Agentic Reinforcement Learning with Tool Use,2509.01055,https://arxiv.org/abs/2509.01055,2026-06-04T06:31:11.602642+00:00,0
2025-09,6,56,Where LLM Agents Fail and How They can Learn From Failures,2509.25370,https://arxiv.org/abs/2509.25370,2026-06-04T06:31:17.740993+00:00,0
2025-09,7,50,Stress Testing Deliberative Alignment for Anti-Scheming Training,2509.15541,https://arxiv.org/abs/2509.15541,2026-06-04T06:31:13.953237+00:00,0
2025-09,8,41,Hilbert: Recursively Building Formal Proofs with Informal Reasoning,2509.22819,https://arxiv.org/abs/2509.22819,2026-06-04T06:31:17.738262+00:00,0
2025-09,9,36,Emergent Hierarchical Reasoning in LLMs through Reinforcement Learning,2509.03646,https://arxiv.org/abs/2509.03646,2026-06-04T06:31:11.603420+00:00,0
2025-09,10,35,The Illusion of Diminishing Returns: Measuring Long Horizon Execution in LLMs,2509.09677,https://arxiv.org/abs/2509.09677,2026-06-04T06:31:13.951556+00:00,0
2025-10,1,72,"Agentic AI: A Comprehensive Survey of Architectures, Applications, and Future Directions",2510.25445,https://arxiv.org/abs/2510.25445,2026-06-04T06:31:36.166960+00:00,0
2025-10,2,46,ACON: Optimizing Context Compression for Long-horizon LLM Agents,2510.00615,https://arxiv.org/abs/2510.00615,2026-06-04T06:31:17.743106+00:00,0
2025-10,3,46,DeepAgent: A General Reasoning Agent with Scalable Toolsets,2510.21618,https://arxiv.org/abs/2510.21618,2026-06-04T06:31:36.164553+00:00,0
2025-10,4,43,Agent Learning via Early Experience,2510.08558,https://arxiv.org/abs/2510.08558,2026-06-04T06:31:33.472989+00:00,0
2025-10,5,43,VAGEN: Reinforcing World Model Reasoning for Multi-Turn VLM Agents,2510.16907,https://arxiv.org/abs/2510.16907,2026-06-04T06:31:33.476691+00:00,0
2025-10,6,41,In-the-Flow Agentic System Optimization for Effective Planning and Tool Use,2510.05592,https://arxiv.org/abs/2510.05592,2026-06-04T06:31:33.471387+00:00,0
2025-10,7,39,Aristotle: IMO-level Automated Theorem Proving,2510.01346,https://arxiv.org/abs/2510.01346,2026-06-04T06:31:17.743772+00:00,0
2025-10,8,39,Barbarians at the Gate: How AI is Upending Systems Research,2510.06189,https://arxiv.org/abs/2510.06189,2026-06-04T06:31:33.471737+00:00,0
2025-10,9,36,Multi-Agent Evolve: LLM Self-Improve through Co-evolution,2510.23595,https://arxiv.org/abs/2510.23595,2026-06-04T06:31:36.166028+00:00,0
2025-10,10,35,Expected Attention: KV Cache Compression by Estimating Attention from Future Queries Distribution,2510.00636,https://arxiv.org/abs/2510.00636,2026-06-04T06:31:17.743187+00:00,0
2025-11,1,218,Clustering-based Anomaly Detection in Multivariate Time Series Data,2511.08072,https://arxiv.org/abs/2511.08072,2026-06-04T06:31:42.464404+00:00,0
2025-11,2,132,Multivariate Time series Anomaly Detection:A Framework of Hidden Markov Models,2511.07995,https://arxiv.org/abs/2511.07995,2026-06-04T06:31:42.464071+00:00,0
2025-11,3,59,Natural Emergent Misalignment from Reward Hacking in Production RL,2511.18397,https://arxiv.org/abs/2511.18397,2026-06-04T06:31:45.761652+00:00,0
2025-11,4,52,Kosmos: An AI Scientist for Autonomous Discovery,2511.02824,https://arxiv.org/abs/2511.02824,2026-06-04T06:31:36.169336+00:00,0
2025-11,5,51,ResearchRubrics: A Benchmark of Prompts and Rubrics For Evaluating Deep Research Agents,2511.07685,https://arxiv.org/abs/2511.07685,2026-06-04T06:31:42.463473+00:00,0
2025-11,6,44,DeepSeekMath-V2: Towards Self-Verifiable Mathematical Reasoning,2511.22570,https://arxiv.org/abs/2511.22570,2026-06-04T06:31:45.764792+00:00,0
2025-11,7,32,A Multimodal Framework for Depression Detection during Covid-19 via Harvesting Social Media: A Novel Dataset and Method,2511.00424,https://arxiv.org/abs/2511.00424,2026-06-04T06:31:36.168326+00:00,0
2025-11,8,28,Simulating Environments with Reasoning Models for Agent Training,2511.01824,https://arxiv.org/abs/2511.01824,2026-06-04T06:31:36.168911+00:00,0
2025-11,9,26,SkyRL-Agent: Efficient RL Training for Multi-turn LLM Agent,2511.16108,https://arxiv.org/abs/2511.16108,2026-06-04T06:31:42.469684+00:00,0
2025-11,10,26,OpenMMReasoner: Pushing the Frontiers for Multimodal Reasoning with an Open and General Recipe,2511.16334,https://arxiv.org/abs/2511.16334,2026-06-04T06:31:42.469850+00:00,0
2025-12,1,77,Towards a Science of Scaling Agent Systems,2512.08296,https://arxiv.org/abs/2512.08296,2026-06-04T12:02:54.338816+00:00,0
2025-12,2,46,Recursive Language Models,2512.24601,https://arxiv.org/abs/2512.24601,2026-06-04T12:02:56.681095+00:00,0
2025-12,3,44,Three-way conflict analysis based on alliance and conflict functions,2512.21419,https://arxiv.org/abs/2512.21419,2026-06-04T12:02:56.680394+00:00,0
2025-12,4,42,Three-way decision with incomplete information based on similarity and satisfiability,2512.21421,https://arxiv.org/abs/2512.21421,2026-06-04T12:02:56.680407+00:00,0
2025-12,5,37,Reinforcement Learning for Self-Improving Agent with Skill Library,2512.17102,https://arxiv.org/abs/2512.17102,2026-06-04T12:02:56.679367+00:00,0
2025-12,6,34,"Remember Me, Refine Me: A Dynamic Procedural Memory Framework for Experience-Driven Agent Evolution",2512.10696,https://arxiv.org/abs/2512.10696,2026-06-04T12:02:54.339783+00:00,0
2025-12,7,32,Learning General Policies with Policy Gradient Methods,2512.19366,https://arxiv.org/abs/2512.19366,2026-06-04T12:02:56.679890+00:00,0
2025-12,8,24,Guided Self-Evolving LLMs with Minimal Human Supervision,2512.02472,https://arxiv.org/abs/2512.02472,2026-06-04T12:02:54.336778+00:00,0
2025-12,9,20,Evaluating Large Language Models in Scientific Discovery,2512.15567,https://arxiv.org/abs/2512.15567,2026-06-04T12:02:56.677962+00:00,0
2025-12,10,19,MemVerse: Multimodal Memory for Lifelong Learning Agents,2512.03627,https://arxiv.org/abs/2512.03627,2026-06-04T12:02:54.337120+00:00,0
